Sentence,"Expected triples <X, ACTION, Y>","Predicted triples <X, ACTION, Y>",PMID,Year,Journal title,Organization
"In conclusion, anti-β2GPI aPL activate platelets while co-factor-independent anticardiolipin aPL have no effect. mTOR is involved in this signaling process which has implications beyond APS, because so far the role of mTOR signaling in platelets is incompletely explored and requires further study.","<anti-β2GPI aPL, activate, platelets>","< anti-β2GPI aPL , activate , platelets >",31018220,2019,Thrombosis and haemostasis,"Anne Hollerbach 1 2, Nadine Müller-Calleja 1 2, Svenja Ritter 1, Friederike Häuser 1, Antje Canisius 1, Carolin Orning 1, Kerstin Jurk 2, Karl J Lackner 1"
"ICs, formed by autoantibodies and their antigens, activate Fcγ-receptor signalling in immune cells, and as such stimulate inflammation-mediated bone erosion.","<ICs, activate, Fcγ-receptor signalling>","< ICs , activate , Fcγ-receptor signalling >",31180451,2019,Rheumatology,"Irene Di Ceglie 1, Nik N L Kruisbergen 1, Martijn H J van den Bosch 1, Peter L E M van Lent 1"
"General odorants activate receptors in a combinatorial fashion, whereas pheromones activate narrowly tuned receptors that activate sexually dimorphic neural circuits in the brain.","<General odorants, activate, receptors>","< General odorants activate receptors in a combinatorial fashion, whereas pheromones activate narrowly tuned receptors that activate sexually dimorphic neural circuits in the brain , activate , vate receptors in a combinatorial fashion > , < General odorants activate receptors in a combinatorial fashion, whereas pheromones activate narrowly tuned receptors that activate sexually dimorphic neural circuits in the brain , activate , vate receptors in a combinatorial fashion > , < General odorants activate receptors in a combinatorial fashion, whereas pheromones activate narrowly tuned receptors that activate sexually dimorphic neural circuits in the brain , activate , vate receptors in a combinatorial fashion >",19575682,2009,Physiology,"Kazushige Touhara 1, Leslie B Vosshall"
"When administered intravenously, various particles and nanomedicines activate complement, potentially leading to infusion reactions and other adverse drug reactions. ","<various particles and nanomedicines, activate, complement>","< various particles and nanomedicines , activate , complement >",31672401,2020,Pharmaceutical sciences,"Carly F Chisholm 1, William Behnke 1, Yekaterina Pokhilchuk 1, Ashley A Frazer-Abel 2, Theodore W Randolph 3"
"Instead of achieving reward through adaptive behaviors, drugs of abuse directly activate the reward pathways.","<drugs, activate, the reward pathways>","< drugs , activate , the reward pathways >",30020635,2019,Drug and Alcohol,"Ubaid ullah Alozai 1, Sandeep Sharma 2"
Heat and capsaicin activate TRPV1 but not TRPV4 in yeast.,"<Heat and capsaicin, activate, TRPV1>","< Heat and capsaicin , activate , TRPV1 >",19174160,2009,FEBS,"Stephen H Loukin 1, Zhenwei Su, Ching Kung"
"TRPA1 is activated by a variety of noxious stimuli, including cold temperatures, pungent natural compounds, and environmental irritants.","<noxious stimuli, is activated by, TRPA1>",,17237762,2007,Nature,"Lindsey J Macpherson 1, Adrienne E Dubin, Michael J Evans, Felix Marr, Peter G Schultz, Benjamin F Cravatt, Ardem Patapoutian"
These peptides activate the receptor in a concentration-dependent way.,"<These peptides, activate, the receptor>","< These peptides , activate , the receptor >",16377032,2006,Peptides,"Inge Mertens 1, Isabelle Clinckspoor, Tom Janssen, Ronald Nachman, Liliane Schoofs"
"Emotional concepts instead had a more variable pattern. Overall, our findings indicate that various kinds of concepts differently activate the mouth and hand effectors, but they also suggest that concepts activate effectors in a flexible and task-dependent way.","<concepts, activate, the mouth and hand effectors>","< concepts , activate , the mouth and hand effectors > < Emotional concepts instead had a more variable pattern. Overall, our findings indicate that various kinds of concepts differently activate the mouth and hand effectors, but they also suggest that concepts activate effectors in a flexible and task-dependent way , activate , they > < concepts , activate , the mouth and hand effectors > ",30568852,2018,Peerj,"Claudia Mazzuca 1, Luisa Lugli 1, Mariagrazia Benassi 2, Roberto Nicoletti 1, Anna M Borghi 3 4"
"In this scheme, HilD and HilC indirectly activate expression of the SPI1 TTS apparatus and its secreted substrates by affecting hilA expression.","<HilD and HilC, activate, expression>","< HilD and HilC , activate , expression >",12535071,2003,Molecular microbiology,"Samina Akbar 1, Lisa M Schechter, C Phoebe Lostroh, Catherine A Lee"
"In addition, both Phen and Met inhibited the growth and migration of LN229 in a tumor xenograft model.","<both Phen and Met, inhibited, the growth and migration>","< addition , inhibited , the growth and migration >",30275708,2018,Oncotargets and therapy,"Yanmin Wang 1, Yanli Meng 2, Shijun Zhang 1, Huancheng Wu 1, Dawei Yang 1, Chaohui Nie 1, Qunliang Hu 1"
Bufadienolides inhibit cell proliferation and arrest cells in G1 phase.,"<Bufadienolides, inhibit, cell proliferation and arrest cells>","< Bufadienolides , inhibit , cell proliferation and arrest cells >",30108651,2018,Complementary and alternative medicine,"Huamei Chang 1, Juan Li 2, Yajun Cao 3 4, Tiantian Liu 3 4, Suofang Shi 5, Wenxing Chen 3 4"
" A1AT chiefly inhibits neutrophil elastase and proteinase-3 but has also been reported to have immune modulatory functions including the ability to inhibit caspases.
 
","<A1AT, inhibits, neutrophil elastase and proteinase-3>","< A1AT , inhibits , neutrophil elastase and proteinase-3 > , < A1AT chiefly inhibits neutrophil elastase and proteinase-3 but has also been reported to have immune modulatory functions including the ability to inhibit caspases.
 , inhibits , immune modulatory functions > , < A1AT chiefly inhibits neutrophil elastase and proteinase-3 but has also been reported to have immune modulatory functions including the ability to inhibit caspases.
 , inhibits , neutrophil elastase and proteinase-3 >",25658455,2015,Plos One,"Mohd Akhlakur Rahman 1, Srabani Mitra 1, Anasuya Sarkar 1, Mark D Wewers 1"
"Neurotransmitter release and the role of adenosine in its regulation has been investigated for more than twenty years, and it is now widely accepted that adenosine tonically inhibits the release of excitatory neurotransmitters.","<adenosine, inhibits, the release>","< twenty years , inhibits , excitatory neurotransmitters > , < adenosine , inhibits , the release >",8778740,1995,Pharmacology and toxicology,J A Ribeiro
IL-10+ regulatory B cells (Bregs) inhibit immune responses in various settings. ,"<IL-10+ regulatory B cells (Bregs), inhibit, immune responses>","< IL-10+ regulatory B cells (Bregs) , inhibit , immune responses >",31355483,2020,Transplanation,"Kanishka Mohib 1, Aravind Cherukuri 1, Yu Zhou 1 2, Qing Ding 1, Simon C Watkins 3, David M Rothstein"
"Sensory activation of the interglomerular circuit directly inhibits output neurons in other glomeruli and by inhibiting intraglomerular PGCs, may potentially disinhibit output neurons in other glomeruli. ","<Sensory activation, inhibits, output neurons>","< Sensory activation , inhibits , output neurons >",31147391,2019,eNeuro,"Zuoyi Shao 1, Shaolin Liu 1, Fuwen Zhou 1, Adam C Puche 1, Michael T Shipley 2"
"Moreover, Bcl-x(L) and E1B-19K inhibit this p53-induced ROS generation.","<Bcl-x(L) and E1B-19K, inhibit, this p53-induced ROS generation>","< Bcl-x(L) and E1B-19K , inhibit , this p53-induced ROS generation >",14764594,2004,Biological chemistry,"Mun-Su Jung 1, Dong-Hoon Jin, Hee-Don Chae, Seokwon Kang, Sun-Chang Kim, Yung-Jue Bang, Tae-Saeng Choi, Kyeong-Sook Choi, Deug Y Shin"
The results here support that coumarins inhibit proliferation of Mycobacteria by targeting the assembly of MtbFtsZ and provide the possible binding site of coumarins on MtbFtsZ.,"<coumarins, inhibit, proliferation>","< coumarins , inhibit , proliferation >",28428773,2017,Frontiers in Microbiology,"S R Cockbill, S Heptinstall, P M Taylor"
"FK506 and CSA inhibited cytokine production with IC50 of 0.8 and 16.2 nM, respectively.","<FK506 and CSA, inhibited, cytokine production>","< FK506 and CSA , inhibited , cytokine production >",1376361,1992,Pharmacology and experimental therapeutics,"S M Hatfield 1, J S Mynderse, N W Roehm"
"Boswellic acids inhibit the leukotriene biosynthesis in neutrophilic granulocytes by a non-redox, noncompetitive inhibition of 5-lipoxygenase.","<Boswellic acids, inhibit, the leukotriene biosynthesis>","< Boswellic acids , inhibit , the leukotriene biosynthesis > , < Boswellic acids , inhibit , neutrophilic granulocytes >",11922958,2000,General pharmacology,R Ylitalo
It is possible that these agents inhibit the release reaction by another mechanism.,"<these agents, inhibit, the release reaction>","< these agents , inhibit , the release reaction > ,  < these agents , inhibit , another mechanism >",115531,1979,Pharmacology,"S R Cockbill, S Heptinstall, P M Taylor"
"In the hypophysis, natriuretic peptides inhibit basal and induced ACTH release. ","<natriuretic peptides, inhibit, basal and induced ACTH release>","< natriuretic peptides , inhibit , basal and induced ACTH release > ",20797680,2010,Cell and molecular biology,"Norah L Smith 1, Stephanie Hammond, Deepti Gadi, Alice Wagenknecht-Wiesner, Barbara Baird, David Holowka"
"Cholestatic bile acids such as taurolithocholate, taurolithocholate-sulfate and taurochenodeoxycholate inhibit the permeability of gap junctions in a dose-dependent and reversible manner in hepatocytes.","<Cholestatic bile acids, inhibit, the permeability>",,15664251,2005,Hepatology ,"Sylviane Boucherie 1, Omédine Koukoui, Valérie Nicolas, Laurent Combettes"
"Metastasis suppressors, by definition, inhibit metastasis at any step of the metastatic cascade without blocking primary tumor growth. ","<Metastasis suppressors, inhibit, metastasis>","< Metastasis suppressors , inhibit , metastasis >",18280770,2008,Biochemistry and cell biology,"Lewis J Stafford 1, Kedar S Vaidya, Danny R Welch"
Fetal membranes inhibit agonist-induced uterine contractions.,"<Fetal membranes, inhibit, agonist-induced uterine contractions>","< Fetal membranes , inhibit , agonist-induced uterine contractions >",7726259,1995,Obstetrics and gynecology,"P L Collins 1, E Idriss, J J Moore"
Bisphosphonates inhibit osteoclast-mediated bone resorption in metastatic bone disease.,"<Bisphosphonates,inhibit,osteoclast-mediated bone resorption>","< Bisphosphonates , inhibit , osteoclast-mediated bone resorption >",12409650,2002,Oncology,Jonathan R Green
"Antibodies to the 19-kDa carboxy-terminal region referred to as MSP1(19) inhibit erythrocyte invasion and parasite growth, with some MSP1-specific antibodies shown to inhibit the proteolytic processing of MSP1 that occurs at invasion. ","<Antibodies, inhibit, erythrocyte invasion and parasite growth>","< MSP1(19) , inhibit , erythrocyte invasion and parasite growth >",22202121,2012,Infection and immunology,"David K Moss 1, Edmond J Remarque, Bart W Faber, David R Cavanagh, David E Arnot, Alan W Thomas, Anthony A Holder"
Antiviral compounds inhibit the transcription of DNA by several mechnisms or by inhibition of viral entry into host cells.,"<Antiviral compounds, inhibit, the transcription>","< Antiviral compounds , inhibit , the transcription >",17176753,2006,Folia microbiologica,V Bethal 
We have previously reported that high density lipoproteins (HDLs) inhibit the cytokine-induced expression of adhesion molecules in endothelial cells. ,"<high density lipoproteins (HDLs), inhibit, the cytokine-induced expression>","< high density lipoproteins (HDLs) , inhibit , the cytokine-induced expression >",9743234,1998,"Arteriosclerosis, thrombosis and vascular biology","D T Ashby 1, K A Rye, M A Clay, M A Vadas, J R Gamble, P J Barter"
It has been demonstrated that interferons (IFNs) inhibit the motility of human fibroblasts. ,"<interferons (IFNs), inhibit, the motility>","< interferons (IFNs) , inhibit , the motility >",2443071,1987,Anticancer,"A Melchiori, G Allavena, J Böhm, W Remy, J Schmidt, S Parodi, L Santi, A Albini"
"In contrast, amphetamine only binds to the N-terminus.","<amphetamine, binds, the N-terminus>","< amphetamine , binds , the N-terminus >",26378986,2015,Chemical neuroscience,"Joe Kakish 1, Dongsoo Lee 1, Jeremy S Lee 1"
"Rather, CCNs bind several groups of multi-ligand receptors as characteristic of other matricellular proteins.","<CCNs, bind, several groups>","< CCNs , bind , several groups >",27098435,2016,Cell communication and signaling,Lester F Lau
"Studies on the possibility that a positron binds to an atomic excited state, however, are scarce.","<a positron, binds, an atomic excited state>","< a positron , binds , an atomic excited state >",23368117,2012,Physical review letters,Dario Bressanini
Three lines of evidence are reported in this study which indicate that the gliadins bind to reticulins because they are lectins which bind to sugars expressed on glycoproteins in reticulin and other sites.,"<the gliadins, bind, reticulins>","< Three lines of evidence are reported in this study which indicate that the gliadins bind to reticulins because they are lectins which bind to sugars expressed on glycoproteins in reticulin and other sites , bind , they >
",3118821,1987,Dermatological,"D J Unsworth 1, J N Leonard, C M Hobday, C E Griffiths, A V Powles, G P Haffenden, L Fry"
"Morphine and apomorphine, however, do bind these catecholamines (with a binding constant for morphine of c. 4 X 10(4) per mole). ","<Morphine and apomorphine, bind, these catecholamines>","< Morphine and apomorphine , bind , these catecholamines >",3607522,1987,Brain,R S Root-Bernstein
"In our hands the individual monomers bind plasminogen; dimers, trimers, tetramers may or may not bind, the fully intact, native, octamer does not bind plasminogen. ","<the individual monomers, bind, plasminogen>",,30653526,2019,PloS One,"Sasmit S Deshmukh 1, M Judith Kornblatt 2, Jack A Kornblatt 3"
"Laminin binds SGGL-1 and SGGL-2, besides sulfatide, but does not bind significantly gangliosides and neutral glycolipids. ","<Laminin, binds, SGGL-1 and SGGL-2>","< Laminin , binds , SGGL-1 and SGGL-2 > , < Laminin , bind , SGGL-1 and SGGL-2 >",2338555,1990,Neurochemistry,"P S Mohan 1, D K Chou, F B Jungalwala"
"Mouse sperm are quite promiscuous and bind to human eggs, but human spermatozoa will not bind to mouse eggs. ","<Mouse sperm, bind, human eggs>","< promiscuous , bind , human eggs >",15677449,2005,Biological chemistry,"Tanya Hoodbhoy 1, Saurabh Joshi, Emily S Boja, Suzannah A Williams, Pamela Stanley, Jurrien Dean"
"One of these sites, Site-1, binds gangliosides present on the surface of motor neurons, while Site-2 is a highly conserved deep cleft in the structures of the tetanus (TeNT) and botulinum (BoNT) neurotoxins.","<Site-1, binds, gangliosides present>","< Site-1 , binds , gangliosides present >",12387617,2002,Toxicology,"Monique Cosman 1, Felice C Lightstone, V V Krishnan, Loreen Zeller, Maria C Prieto, Diana C Roe, Rod Balhorn"
Myeloperoxidase binds only to a fraction of freshly prepared human spermatozoa.,"<Myeloperoxidase, binds, a fraction>","< Myeloperoxidase , binds , a fraction >",17701359,2007,Apoptosis,"Jacqueline Lessig 1, Holger Spalteholz, Uta Reibetanz, Pavel Salavei, Martin Fischlechner, Hans-J�rgen Glander, J�rgen Arnhold"
"Whereas, CNTs bind to major groove of DNA in a parallel fashion in A and B form of DNA, and in minor groove attached perpendicularly in Z form.","<CNTs, bind, major groove>","< CNTs , bind , major groove >",27167909,2015,Theoretical biology,"Sumbul Firdaus, Anupam Dhasmana, Shafiul Haque, Snober S Mir, Roshan Jahan, Tasneem Bano, Vandana Srivastava, Saif Khan, Mohtashim Lohani"
"Membrane lipids bind to membrane proteins by their headgroups, or by their acyl chains, or binding is mediated by the entire lipid molecule.","<Membrane lipids, bind, proteins>","< Membrane lipids , bind , proteins >",24269542,2013,Biochimica,Philip L Yeagle
AFPs bind to specific planes of ice through their ice-binding surfaces.,"<AFPs, bind, specific planes>","< AFPs , bind , specific planes >",24457629,2014,Visualized experiments,"Koli Basu 1, Christopher P Garnham, Yoshiyuki Nishimiya, Sakae Tsuda, Ido Braslavsky, Peter Davies"
HSPs also bind nonprotein molecules with exposed hydrophobic residues including lipid-based TLR ligands.,"<HSPs, bind, nonprotein molecules>","< HSPs , bind , nonprotein molecules >",19276179,2009,Leukocyte biology,"Min-Fu Tsan 1, Baochong Gao"
Most zinc fingers bind to a cognate DNA. ,"<Most zinc fingers, bind, a cognate DNA>","< Most zinc fingers , bind , a cognate DNA >",11361095,2001,Cellular and molecular life sciences,S Iuchi 
Many RING fingers bind to E2 ligases to mediate the ubiquitination of proteins.,"<Many RING fingers, bind, E2 ligases>","< Many RING fingers , bind , E2 ligases >",16297627,2006,Biochemical sciences,Mariann Bienz
Enzymes bind substrates at key locations in their structure called active sites. ,"<Enzymes, bind, substrates>","< Enzymes , bind , substrates >",32119368,2020,Biochemistry,"Theodore Lewis 1, William L. Stone 2"
"We show that A. thaliana L5 and TFIIIA also bind PSTVd (+) RNA in vitro with the same affinity as they bind 5S rRNA, whereas the affinity for a chloroplastic viroid is significantly lower.","<A. thaliana L5 and TFIIIA, bind, PSTVd (+) RNA>","< We show that A. thaliana L5 and TFIIIA also bind PSTVd (+) RNA in vitro with the same affinity as they bind 5S rRNA, whereas the affinity for a chloroplastic viroid is significantly lower , bind , vitro >
",21153748,2011,Virology,"Marcelo Eiras 1, María Angeles Nohales, Elliot W Kitajima, Ricardo Flores, José Antonio Daròs"
"Pyrethrins and synthetic pyrethroids also bind with high affinities to the channel sites of the Torpedo nicotinic ACh-receptor, though not to its receptor sites.","<Pyrethrins and synthetic pyrethroids, bind, the channel sites>","< Pyrethrins and synthetic pyrethroids , bind , the channel sites >",6339601,1983,Environmental science and health,"M E Eldefrawi, A T Eldefrawi"
"Although these proteins all bind preferentially and with high affinity to ssDNA, their modes of binding to ssDNA in vitro, including whether they bind with cooperativity, often differ dramatically. ","<these proteins, bind, ssDNA>",,7979247,1994,Biochemistry,"T M Lohman 1, M E Ferrari"
"Renin-angiotensin system (RAS) blockers prevent new-onset AF in patients at high cardiovascular risk, and especially so in heart failure patients. ","<Renin-angiotensin system (RAS) blockers, prevent, new-onset AF>","< Renin-angiotensin system (RAS) blockers , prevent , new-onset AF >",30479208,2018,Pharmaceutical design,"Benjamin De Becker 1, Philippe Van de Borne"
Prophylactic antibiotics prevent inflammatory complications after gynaecological surgery.,"<Prophylactic antibiotics, prevent, inflammatory complications>","< Prophylactic antibiotics , prevent , inflammatory complications > , < Prophylactic antibiotics , prevent , gynaecological surgery >",28466180,2017,Gynecology and Obstetrics,"Cedric Emanuel Boesch 1, Roderick Franziskus Pronk 2, Fabian Medved 2, Pascal Hentschel 2, Hans-Eberhard Schaller 2, Wolfgang Umek 3"
"Subsequently, the use of sEH inhibitors, which have been shown to decrease blood pressure, limit ischemic injury and prevent hypertrophy in various animal models, appears to be an attractive opportunity to restore endothelial function.","<the use, prevent, hypertrophy>","< sEH inhibitors , prevent , hypertrophy > , < sEH inhibitors , prevent , various animal models >",21514320,2011,Pharmacology and therapeutics,"Jeremy Bellien 1, Robinson Joannides, Vincent Richard, Christian Thuillez"
"In summary, MWCNTs-COOH effectively prevent tumor metastasis through skewing M2-polarized macrophages to M1 via activating TLR4/NF-κB signaling. ","<MWCNTs-COOH, prevent, tumor metastasis>","< MWCNTs-COOH , prevent , tumor metastasis >",30480521,2019,Biomedical nanotechnology,"Lianlian Wu, Hongling Tang, Hao Zheng, Xiaoxiao Liu, Yanzhuo Liu, Jing Tao, Zhengyan Liang, Yuqi Xia, Yang Xu, Yong Guo, Honglei Chen, Jing Yang"
"As these drugs prevent sodium retention following exogenous angiotensin II, the natriuretic effect of felodipine might be due to a similar interaction with endogenous angiotensin II. ","<these drugs, prevent, sodium retention>","< these drugs , prevent , sodium retention >",7681510,1993,Cardiovascular pharmacology,"H W van Hamersvelt 1, J F Wetzels, H J Kloke, R A Koene, F T Huysmans"
Trialkylglycines 6-1-2 and 6-1-10 prevent ammonia-induced (NMDA receptor-mediated) death of mice and neuronal degeneration in the model of cerebral ischemia. ,"<Trialkylglycines 6-1-2 and 6-1-10, prevent, ammonia-induced (NMDA receptor-mediated) death>","< Trialkylglycines 6-1-2 and 6-1-10 , prevent , ammonia-induced (NMDA receptor-mediated) death >",14530798,2003,CNS drug,"Ana M Sánchez-Pérez 1, Carmina Montoliu, Vicente Felipo"
"The renal process of bicarbonate reclamation prevents the loss of bicarbonate in the urine and, thus, maintains plasma levels of one substrate that is instrumental to preventing minute-to-minute pH fluctuations.","<The renal process, prevents, the loss>","< The renal process , prevents , the loss >",15114801,2004,Nephrology nursing,Carolyn Yucha 
Cranberry and rice extracts interfere with gingipain activity and prevent the growth and biofilm formation of periodontopathogens. ,"<Cranberry and rice extracts, prevent, the growth and biofilm formation>","< Cranberry and rice extracts , prevent , the growth and biofilm formation >",25206939,2014,Oral microbiology,"Ingar Olsen 1, Jan Potempa 2"
Chronic moderate hyperammonemia prevents acute ammonia toxicity in rats. ,"<Chronic moderate hyperammonemia, prevents, ammonia toxicity>","< Chronic moderate hyperammonemia , prevents , ammonia toxicity >",9745928,1998,Neurotoxicology,"V Felipo 1, C Hermenegildo, C Montoliu, M Llansola, M D Miñana"
Glu leads to depletion of ATP; some compounds (e.g. carnitine) prevent Glu-induced neuronal death without preventing ATP depletion: additional events are required for neuronal death.,"<some compounds, prevent, Glu-induced neuronal death>","< depletion , prevent , ATP depletion: > , < some compounds , prevent , Glu-induced neuronal death > , < carnitine) , prevent , ATP depletion: >",9745928,1998,Neurotoxicology,"V Felipo 1, C Hermenegildo, C Montoliu, M Llansola, M D Miñana"
"SXT/R391 prevent the acquirement of closely related and homogeneous elements but cannot prevent the acquirement of heterogenetic ICE, which leads to the generation of hybrid ICE under the action of recombination system encoded by SXT/R391 themselves.","<SXT/R391, prevent, the acquirement>","< SXT/R391 , prevent , the acquirement >",25199245,2014,Microbiologica,"Peng Luo, Chaoqun Hu"
Indomethacin prevents the reduction of arterial blood pressure during PAF infusion. ,"<Indomethacin, prevents, the reduction>","< Indomethacin , prevents , the reduction >",3774843,1986,Pharmacological,"G E Plante, R L Hebert, C Lamoureux, P Braquet, P Sirois"
Some of the pyrrolidinone derivatives also prevent amnesia associated with inhibition of acetylcholine synthesis brought about by hemicholinium. ,"<the pyrrolidinone derivatives, prevent, amnesia>","< the pyrrolidinone derivatives , prevent , amnesia >",2694231,1989,Neuro-psychopharmacology and biological psychiatry,"G Pepeu 1, G Spignoli"
Oxiracetam prevents the decrease in brain acetylcholine and amnesia caused by electroconvulsive shock.,"<Oxiracetam, prevents, the decrease>","< Oxiracetam , prevents , the decrease > , < Oxiracetam , prevents , brain acetylcholine and amnesia >",2694231,1989,Neuro-psychopharmacology and biological psychiatry,"G Pepeu 1, G Spignoli"
Anti-idiotypic antibodies to TEPC 15 myeloma raised in A/He mice prevent plaque formation by cells releasing antibody to phosphorylcholine and inhibit induction of the antibody response to phosphorylcholine in vitro and in vivo. ,"<Anti-idiotypic antibodies, prevent, plaque formation>","< A/He mice , prevent , plaque formation > , < plaque formation , prevent , cells >",4403565,1972,Biological ,"H Cosenza, H Köhler"
Ethanol metabolism in human blood vessel walls could antagonize the oxidation of LDL and thereby prevent the development of atherosclerosis.,"<Ethanol metabolism, prevent, the development>","< Ethanol metabolism , prevent , atherosclerosis >",10477672,1999,Bioscience,M Hillbom
"Raloxifene and hormone therapy prevent bone loss and fracture, with extraskeletal benefits.","<Raloxifene and hormone therapy, prevent, bone loss and fracture>","< Raloxifene and hormone therapy , prevent , bone loss and fracture >",24100598,2013,Clinical obstetrics and gynecology,"Joann V Pinkerton 1, Semara Thomas, Alan C Dalkin"
"Barrier creams containing dimethicone or perfluoropolyethers, cotton liners, and softened fabrics prevent irritant CD.","<Barrier creams, prevent, irritant CD>",,16243136,2005,Dermatology,"Joan Saary 1, Roohi Qureshi, Valerie Palda, Joel DeKoven, Melanie Pratt, Sandy Skotnicki-Grant, Linn Holness"
"In humans, PGs prevent the mucosal damage caused by aspirin and ethanol.","<PGs, prevent, the mucosal damage>","< PGs , prevent , the mucosal damage >",3943457,1986,Digestive disease and sciences,D E Wilson
We have confirmed that these fatty acids prevent fatal cardiac arrhythmias in a reliable dog model of sudden cardiac death. ,"<these fatty acids, prevent, fatal cardiac arrhythmias>","< these fatty acids , prevent , fatal cardiac arrhythmias >",16456723,2005,Membrane biology,"A Leaf 1, Y-F Xiao, J X Kang, G E Billman "
"Thus, antioxidants accelerate tumor growth by disrupting the ROS-p53 axis.","<antioxidants, accelerate, tumor growth>","< antioxidants , accelerate , tumor growth >",24477002,2014,Science translational medicine,"Volkan I Sayin 1, Mohamed X Ibrahim, Erik Larsson, Jonas A Nilsson, Per Lindahl, Martin O Bergo"
